,trades,Total return,Average Gain,Average Loss,Max Return,Max Loss,Gain/Loss Ratio,Batting Average,Last Asset,Max Drawdown
ATVI,1,816.1,816.0999328061732,0,816.0999328061732,,,1.0,9.160999328061733,0.5190070762130407
ADBE,1,1199.33,1199.3259947293616,0,1199.3259947293616,,,1.0,12.993259947293616,0.398143234088134
AMD,1,806.08,806.0824857511714,0,806.0824857511714,,,1.0,9.060824857511713,0.8405511782383532
ALXN,1,541.41,541.4093491944624,0,541.4093491944624,,,1.0,6.414093491944624,0.6364511215841536
ALGN,1,2852.32,2852.324284733953,0,2852.324284733953,,,1.0,29.523242847339528,0.6495496020903353
GOOGL,1,556.34,556.344951931379,0,556.344951931379,,,1.0,6.56344951931379,0.3087082779133563
GOOG,1,563.05,563.048821709103,0,563.048821709103,,,1.0,6.630488217091029,0.30790138425624003
AMZN,1,2373.88,2373.883629791448,0,2373.883629791448,,,1.0,24.73883629791448,0.34103782060282983
AEP,1,258.82,258.8198269967197,0,258.8198269967197,,,1.0,3.5881982699671973,0.32905204923811726
